Date,Open,High,Low,Close
07/11/2024,"3,606.15","3,606.15","3,606.15","3,606.15"
07/10/2024,"3,613.61","3,613.61","3,613.61","3,613.61"
07/09/2024,"3,579.33","3,579.33","3,579.33","3,579.33"
07/08/2024,"3,582.70","3,582.70","3,582.70","3,582.70"
07/05/2024,"3,580.90","3,580.90","3,580.90","3,580.90"
07/04/2024,"3,569.36","3,569.36","3,569.36","3,569.36"
07/03/2024,"3,562.23","3,562.23","3,562.23","3,562.23"
07/02/2024,"3,537.51","3,537.51","3,537.51","3,537.51"
07/01/2024,"3,520.04","3,520.04","3,520.04","3,520.04"
06/28/2024,"3,511.78","3,511.78","3,511.78","3,511.78"
06/27/2024,"3,521.90","3,521.90","3,521.90","3,521.90"
06/26/2024,"3,520.21","3,015.90","3,520.21","3,520.21"
06/25/2024,"3,520.73","3,520.73","3,520.73","3,520.73"
06/24/2024,"3,508.95","3,508.95","3,508.95","3,508.95"
06/21/2024,"3,507.81","3,507.81","3,507.81","3,507.81"
06/20/2024,"3,519.68","3,519.68","3,519.68","3,519.68"
06/19/2024,"3,523.66","3,523.66","3,523.66","3,523.66"
06/18/2024,"3,522.68","3,522.68","3,522.68","3,522.68"
06/17/2024,"3,508.25","3,508.25","3,508.25","3,508.25"
06/14/2024,"3,492.05","3,492.05","3,492.05","3,492.05"
06/13/2024,"3,504.47","3,504.47","3,504.47","3,504.47"
06/12/2024,"3,516.30","3,516.30","3,516.30","3,516.30"
06/11/2024,"3,479.94","3,479.94","3,479.94","3,479.94"
06/10/2024,"3,482.22","3,482.22","3,482.22","3,482.22"
06/07/2024,"3,478.70","3,478.70","3,478.70","3,478.70"
06/06/2024,"3,489.89","3,489.89","3,489.89","3,489.89"
06/05/2024,"3,483.40","3,483.40","3,483.40","3,483.40"
06/04/2024,"3,453.71","3,453.71","3,453.71","3,453.71"
06/03/2024,"3,453.44","3,453.44","3,453.44","3,453.44"
05/31/2024,"3,445.17","3,445.17","3,445.17","3,445.17"
05/30/2024,"3,420.32","3,420.32","3,420.32","3,420.32"
05/29/2024,"3,430.00","3,430.00","3,430.00","3,430.00"
05/28/2024,"3,464.61","3,464.61","3,464.61","3,464.61"
05/27/2024,"3,468.13","3,468.13","3,468.13","3,468.13"
05/24/2024,"3,462.13","3,462.13","3,462.13","3,462.13"
05/23/2024,"3,446.42","3,446.42","3,446.42","3,446.42"
05/22/2024,"3,465.55","3,465.55","3,465.55","3,465.55"
05/21/2024,"3,479.84","3,479.84","3,479.84","3,479.84"
05/20/2024,"3,477.07","3,015.90","3,477.07","3,477.07"
05/17/2024,"3,472.52","3,472.52","3,472.52","3,472.52"
05/16/2024,"3,468.71","3,468.71","3,468.71","3,468.71"
05/15/2024,"3,472.26","3,472.26","3,472.26","3,472.26"
05/14/2024,"3,435.15","3,435.15","3,435.15","3,435.15"
05/13/2024,"3,421.11","3,421.11","3,421.11","3,421.11"
05/10/2024,"3,419.92","3,419.92","3,419.92","3,419.92"
05/09/2024,"3,411.11","3,411.11","3,411.11","3,411.11"
05/08/2024,"3,395.64","3,395.64","3,395.64","3,395.64"
05/07/2024,"3,401.77","3,401.77","3,401.77","3,401.77"
05/06/2024,"3,391.13","3,391.13","3,391.13","3,391.13"
05/03/2024,"3,361.41","3,361.41","3,361.41","3,361.41"
05/02/2024,"3,321.81","3,321.81","3,321.81","3,321.81"
05/01/2024,"3,294.01","3,294.01","3,294.01","3,294.01"
04/30/2024,"3,305.30","3,305.30","3,305.30","3,305.30"
04/29/2024,"3,347.04","3,347.04","3,347.04","3,347.04"
04/26/2024,"3,335.08","3,335.08","3,335.08","3,335.08"
04/25/2024,"3,306.68","3,306.68","3,306.68","3,306.68"
04/24/2024,"3,323.29","3,015.90","3,323.29","3,323.29"
04/23/2024,"3,322.54","3,322.54","3,322.54","3,322.54"
04/22/2024,"3,282.09","3,282.09","3,282.09","3,282.09"
04/19/2024,"3,255.62","3,255.62","3,255.62","3,255.62"
04/18/2024,"3,280.10","3,280.10","3,280.10","3,280.10"
04/17/2024,"3,281.11","3,281.11","3,281.11","3,281.11"
04/16/2024,"3,297.14","3,297.14","3,297.14","3,297.14"
04/15/2024,"3,317.68","3,317.68","3,317.68","3,317.68"
04/12/2024,"3,351.01","3,351.01","3,351.01","3,351.01"
04/11/2024,"3,391.01","3,391.01","3,391.01","3,391.01"
04/10/2024,"3,379.72","3,379.72","3,379.72","3,379.72"
04/09/2024,"3,412.09","3,412.09","3,412.09","3,412.09"
04/08/2024,"3,408.57","3,408.57","3,408.57","3,408.57"
04/05/2024,"3,402.36","3,402.36","3,402.36","3,402.36"
04/04/2024,"3,386.31","3,386.31","3,386.31","3,386.31"
04/03/2024,"3,409.62","3,409.62","3,409.62","3,409.62"
04/02/2024,"3,403.40","3,403.40","3,403.40","3,403.40"
04/01/2024,"3,424.73","3,424.73","3,424.73","3,424.73"
03/29/2024,"3,437.76","3,437.76","3,437.76","3,437.76"
03/28/2024,"3,436.78","3,436.78","3,436.78","3,436.78"
03/27/2024,"3,436.98","3,436.98","3,436.98","3,436.98"
03/26/2024,"3,414.29","3,414.29","3,414.29","3,414.29"
03/25/2024,"3,420.18","3,420.18","3,420.18","3,420.18"
03/22/2024,"3,428.12","3,428.12","3,428.12","3,428.12"
03/21/2024,"3,434.69","3,434.69","3,434.69","3,434.69"
03/20/2024,"3,414.89","3,414.89","3,414.89","3,414.89"
03/19/2024,"3,393.37","3,393.37","3,393.37","3,393.37"
03/18/2024,"3,380.67","3,380.67","3,380.67","3,380.67"
03/15/2024,"3,363.03","3,363.03","3,363.03","3,363.03"
03/14/2024,"3,382.48","3,382.48","3,382.48","3,382.48"
03/13/2024,"3,396.19","3,396.19","3,396.19","3,396.19"
03/12/2024,"3,397.25","3,397.25","3,397.25","3,397.25"
03/11/2024,"3,367.08","3,367.08","3,367.08","3,367.08"
03/08/2024,"3,380.14","3,380.14","3,380.14","3,380.14"
03/07/2024,"3,391.26","3,391.26","3,391.26","3,391.26"
